batch_size,eps,fname,norm,steps,trials,acc,robust-acc
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,linf,100,10,0.9283,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,linf,100,10,0.9283,0.0001
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,l2,40,1,0.9133,0.4257
1000,2.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,l2,40,1,0.9133,0.0324
1000,0.3,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,linf,40,1,0.9133,0.0
1000,0.15,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,linf,40,1,0.9133,0.0075
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,l2,100,1,0.9133,0.4241
1000,2.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,l2,100,1,0.9133,0.0323
1000,0.3,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,linf,100,1,0.9133,0.0
1000,0.15,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,linf,100,1,0.9133,0.0074
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,l2,40,10,0.9133,0.4169
1000,2.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,l2,40,10,0.9133,0.0303
1000,0.3,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,linf,40,10,0.9133,0.0
1000,0.15,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,linf,40,10,0.9133,0.0068
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,l2,100,10,0.9133,0.415
1000,2.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,l2,100,10,0.9133,0.0301
1000,0.3,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,linf,100,10,0.9133,0.0
1000,0.15,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,linf,100,10,0.9133,0.0069
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,l2,40,1,0.9176,0.3962
1000,2.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,l2,40,1,0.9176,0.0266
1000,0.3,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,linf,40,1,0.9176,0.0
1000,0.15,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,linf,40,1,0.9176,0.0057
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_1_009,l2,100,1,0.9176,0.3964
